Ford Motor Company Limited|Fords Jetty and Estate - Dagenham. SS16 5XX|GBAUDAGLONFRD|No
Forth Bridge Stevedoring Ltd|East Ness Terminal - Inverkeithing. KY11 1DS|GBAUINKGRGENT|No
Forth Ports|North Wall, Port of Rosyth. EH6 7DN|GBAUROYROSROY|No
Forth Ports Limited|GBAUKKDGRGKKD|No
Forth Ports Limited|Dock Office, Methil, Fife. KY9 4EG|GBAUMTHGRGMTH|No
Forth Ports PLC|Burntisland Docks, Burntisland, Fife. KY3 OEP|GBAUBTLGRGBTL|No
Forth Ports PLC|Harbour Chambers, Dock Street, Dundee, Angus. DD1 3HW|GBAUDUNDUNDUN|No
Forth Ports PLC|Dock Office, Grangemouth. FK3 8UE|GBAUGRGGRGGRG|No
Forth Ports PLC|Imperial House, Albert Dock, Leith, Edinburgh. EH6 7DN|GBAULEILEILEI|No
Fraserburgh Harbour Commissioners|Fraserburgh Harbour, Harbour Office, Shore Street, Fraserburgh. AB43 9BR|GBAUFRBFRBFRB|No
Frontier Agriculture Ltd|Berth 36, Test Road, Eastern Docks, Southampton. SO14 3GG|GBAUSOUSTNFRO1|No
Global Energy Nigg Limited|Port Of Nigg, Nigg, Ross-shire, Scotland. IV19 1QU|GBAUNGGABDNGG|No
Great Yarmouth Port Company Limited|GBAUGTYGTYGTY|No
Greenock Ocean Terminal|Patrick Street, Greenock. PA16 8UU|GBAUGRKGRKSFG|No
Grimaldi UK|Unit 7, Imperial House, Imperial Way, Western Docks, Southampton. SO15 0RB|GBAUSOUSTNSGS1|No
Groveport Logistics Limited|GBAUGUSTRTNHW|No
Gunness - Grove Wharf|Grove Wharf, Gunness, Scunthorpe. DN15 8UA|GBAUGUSTRTGRO|No
Harwich Dock Company Ltd|Navyard Wharf, Kings Quay Street, Harwich, Essex. CO12 3JJ|GBAUHRWHRHNYW|No
Harwich International Port Limited|Harwich International Port, Parkeston, Harwich, Essex. CO12 4SR|GBAUHRWHRHHRW|No
Heyn Group Ltd|Transit 1, Westbank Way, Belfast. BT3 9LB|GBAUOYTBELVLA1|Yes
Heysham Port Limited|Heysham Port, Heysham, Lancashire. LA3 2XF|GBAUHYMHEYHYM|No
HKS Dagenham Limited|East Jetty Number 9, Perry Road, Off Chequers Lane, Dagenham Docks, Dagenham. RM9 6QD|GBAUDAGLONEJ9|No
Holy Loch Port Limited|Holy Loch Marina, Rankins Brae, Sandbank, Dunoon, Argyll. PA23 8FE|GBAUDNUARGHLM|No
Imerys Minerals Limited|Fowey Harbour, Fowey, Cornwall. PL23 1AL|GBAUFOYFOYFOY|No
Impala Terminal Infrastructure (UK) Ltd|Berths 1-3, Milford Haven Refinery Terminal, Milford Haven, Pembrokeshire. SA73 3FB|GBAUMLFMILRTB|No
INB Terminals Infrastructure (NI) Ltd|Oil Berth 4, Airport Road West , Belfast. BT3 9EA|GBAUBELBELOB4|Yes
Industrial Chemicals Limited|West Thurrock Jetty, Titan Works, Hogg Lane, Grays, Essex. RM17 5DU|GBAUGYSLONGTW|No
INEOS FPS Limited|Hound Point Tanker Berths 1 & 2, Dalmeny, South Queensferry. EH30 9UA|GBAUGRGHPTHPT|No
INEOS FPS Limited|RLPG Jetty, Northshore Road, Grangemouth Docks, Falkirk. FK3 8UD|GBAUGRGGRGLPG|No
INEOS Infrastructure (Grangemouth) Limited|Jetties J1 J2 J3 Port of Grangemouth. FK3 9XH|GBAUGRGGRGINR|No
Innospec Limited|Innospec Wharf, Ellesmere Port, Manchester Ship Canal. CH65 4HF|GBAUELLELLELL|No
Irish Saltmining Company Limited|Kilroot Jetty, 10 Fort Road, Kilroot, Carrickfergus, County Antrim. BT38 9BT|GBAUKPSBELKPS|Yes
J Clubb Ltd|Clubbs Maritime Terminal, Denton, Gravesend, Kent. DA2 7DZ|GBAUGVSMEDCMT|No
Kimberly Clark Limited|Northfleet Terminal, Crete Hall Road, Northfleet. DA11 9AD|GBAUNFTMEDKIM|No
Knauf UK GMBH|Grovehurst Jetty, Ridham Dock Road, Sittingbourne, Kent. ME9 8SR|GBAURIDMEDGHJ|No
Lancaster Port Commission|West Quay, East Quay, East Wall, North Wall & New Quay Glasson Dock, Lancaster. LA2 0DB|GBAUGLDGLDGLD|No
Larne Harbour Limited|Port of Larne, 9 Olderfleet Road, Larne, Co. Antrim. BT40 1AS|GBAULARBELLAR|Yes
Lerwick Port Authority|Lerwick Harbour, Lerwick, Shetland Islands. ZE1 0LL|GBAULERLERLER|No
Liberty Steel Newport Limited|Corporation Road, Newport, South Wales. NP19 4XE|GBAUNPTNPTLSW|No
Liverpool City Council|The City of Liverpool Cruise Terminal, Princes Parade, Liverpool. L3 1DL|GBAULIVLIVCRU|No
London Gateway Port Limited|London Gateway Port, Stanford-le-Hope, Essex. SS17 9DY|GBAULGPLGPLGP1|No
Londonderry Port & Harbour Commissioners|Londonderry Port, Port Road, Lisahally, Londonderry. BT47 6FL|GBAULDYLDYLDY|Yes
LSS Limited|Maydown Oil Terminal - Coolkeeragh. BT47 6SZ|GBAUMYNLDYMYN|Yes
LSS Oil|LSS Berth, Maydown Oil Terminal, Carrakeel Industrial Park, Londonderry. BT47 6SZ|GBAULDYBFSTLO|Yes
Marchwood Military Port|GBAUMAWSTNMMP1|No
